timestep,MFN-A2C,A2C,Buy-and-Hold
0,10000.0,10000.0,10000.0
1,9992.901716751565,9992.619116567836,10114.935099478153
2,9963.678679764316,9966.437072539957,10246.745576161236
3,10017.50181880733,10016.4290068113,10091.41516854934
4,10057.947754763452,10058.34188710058,10234.439643802752
5,9981.505588452455,9981.41828897078,10317.269401969324
6,9928.619428429252,9928.294193915672,10482.013932226582
7,9917.06460735126,9916.606826157926,10499.91317515647
8,9799.077117019382,9789.598941931004,10488.272832487846
9,9676.77340003437,9676.940779783796,10367.03058548344
10,9542.666353973696,9544.87907316574,10150.895753194894
11,9405.800611066406,9420.70160137656,10212.07540463494
12,9509.653172269656,9519.975564756263,9989.27167238515
13,9562.119410882851,9570.259842494464,10151.136526324908
14,9684.712905171638,9685.681970660627,10240.179421286372
15,9338.284044932903,9345.6966278136,10230.891929073005
16,9056.707244476283,9080.917483517003,10179.724514972286
17,8984.288373610114,9008.066747978586,10052.305577994635
18,8991.18009144821,9019.85924485343,10089.228790677573
19,9164.32695374493,9187.81973767261,10080.370632599866
20,9189.226994908391,9222.533530239096,10042.227069400453
21,9203.067812560465,9239.373419719564,10111.405250516487
22,9341.856796822718,9382.157262266956,10163.175317665376
23,9268.240527799737,9309.641006160864,10066.683820971755
24,9146.593073474818,9190.439390309966,10000.311024831326
25,9252.153557088244,9290.40785431604,9985.7304174183
26,9300.17082730949,9333.85146253748,9836.982277534593
27,9181.841735595404,9223.650636482482,9681.953726535565
28,9294.283136355954,9335.35503217106,9512.932192651406
29,9355.97477863813,9396.074164520956,9343.79502074476
30,9335.175254514525,9379.533340958047,9472.339796478964
31,9289.114808466436,9330.678065430811,9537.243782211775
32,9336.072343278644,9372.10624568941,9691.269193091535
33,9242.538195594254,9281.440547450917,9260.90823250751
34,9145.321726403428,9179.943672980453,8917.962009227409
35,9218.068199281368,9251.985830991747,8828.999932025532
36,9289.940231945246,9322.455724571566,8840.677672947515
37,9284.1181106953,9315.50167502318,9054.36562532996
38,9346.886743615409,9373.266456532256,9083.590802296678
39,9439.90214480574,9464.9795649175,9098.16273742188
40,9467.358695380335,9492.060283622362,9269.500922601652
41,9422.135006425162,9447.660339323922,9180.115728440089
42,9475.811173021846,9500.405686180266,9030.340498685611
43,9439.003384002965,9465.634822115651,9158.97752617708
44,9521.61919165027,9545.087422977213,9217.626165471453
45,9533.68939512916,9562.907497638387,9071.071041779198
46,9564.571663684555,9592.20715081895,9210.714706695477
47,9580.399361024318,9612.95760779258,9287.614278904008
48,9534.93454630388,9561.97967276737,9266.12064748734
49,9515.495184759857,9543.260599147492,9212.397664866714
50,9319.677259421718,9363.847156127598,9264.548295120578
51,9388.09462688372,9430.464345305663,9151.491465479705
52,9368.340781410709,9412.937254718976,9034.674993040268
53,9389.231947027854,9428.870863940445,9121.774195472306
54,9573.873782157534,9612.619461076483,9210.00326014758
55,9554.01448301317,9598.432654298143,9201.627099891137
56,9582.348635267052,9626.14625684629,9279.084481089736
57,9599.39286904098,9639.884590221129,9394.082557938002
58,9639.478669671553,9683.457417789614,9427.179841610676
59,9599.054445690235,9645.636988748716,9371.773161637271
60,9492.414091452642,9552.088566578572,9439.942493405384
61,9502.133403532123,9559.690900055271,9393.274235561972
62,9450.670185426272,9504.578092163118,9493.612389118442
63,9398.03214432791,9450.349346588722,9511.200700544394
64,9459.693275212172,9511.138091918923,9552.341349480152
65,9513.405265959802,9558.18853638286,9576.754424506593
66,9511.651922578598,9551.978451647889,9515.972544917944
67,9478.026715188646,9520.161234633,9490.321986569215
68,9636.450129158166,9666.297646952838,9254.10979314334
69,9663.94952919718,9691.38108407088,9338.121153852446
70,9683.30586013187,9713.15402896614,9313.7027079947
71,9785.902402193173,9820.732559050695,9337.644619733264
72,9739.213276319317,9772.62185748032,9569.936142754355
73,9691.985039562202,9732.59985980982,9549.711107707788
74,9667.315051377604,9710.152221895987,9582.462456876454
75,9620.438537870235,9663.417295404091,9601.592747613102
76,9643.192971143772,9683.925024945574,9646.761378843476
77,9678.22263575252,9718.344692470371,9601.182698918195
78,9658.875330720715,9694.480397496663,9474.520484594412
79,9649.71135731462,9684.487078489306,9489.81926506656
80,9671.496841522228,9705.66675314728,9429.035038433212
81,9647.736853616603,9680.937573964286,9362.063784436285
82,9664.165290956043,9690.848143155394,9437.707416105426
83,9622.305288209833,9643.63816698732,9497.84757303374
84,9637.743479393388,9652.052655754907,9490.818450940014
85,9637.476930624724,9652.147919402129,9450.408859721789
86,9640.734520887348,9653.598364399626,9634.393059612064
87,9615.571034680952,9628.037092847211,9667.908688714724
88,9653.659309051,9664.249902788995,9696.351153384963
89,9617.97954265101,9629.64527028778,9821.308418315526
90,9656.674928204871,9662.704959908751,9768.40299763852
91,9649.006973821548,9654.418719342706,9711.530041040472
92,9665.935430114589,9674.292249322658,9683.113339306048
93,9687.450125533,9696.019400915577,9624.305521478242
94,9647.298709606885,9660.0142667827,9649.96799431314
95,9685.825000808789,9696.631891552392,9692.846114186892
96,9718.819449718703,9730.442827157229,9670.149273811092
97,9792.615803154764,9801.541909620191,9657.43062395954
98,9878.140738196676,9884.242471536763,9685.174206865911
99,9901.444388129075,9905.530291262356,9654.550024011602
100,9923.39188343013,9926.768366065868,9676.35788383859
101,9884.925336620328,9886.26361201913,9628.200280009383
102,9806.951378316471,9802.80635116776,9643.337657546845
103,9822.966777155923,9818.2987487213,9643.609889494815
104,9850.255597781865,9850.322004833137,9644.752027289043
105,9863.394146518687,9864.101447426056,9613.852412093498
106,9875.309899128588,9876.76914079364,9657.58107366538
107,9861.492549038054,9862.81048514849,9616.490808382296
108,9818.51907646243,9817.956934884976,9659.6313076531
109,9922.808598395275,9920.145206205916,9650.251123850756
110,9920.291129808966,9917.629392487095,9670.4052085251
111,9754.592837451688,9772.781189084892,9695.202709560435
112,9698.695736877298,9719.76588054904,9649.894736969598
113,9720.443658892202,9742.11838777594,9699.252101847536
114,9814.30808884148,9833.483571266295,9738.438518078296
115,9842.819316853189,9862.411835279272,9823.833573985608
116,9803.32088921542,9822.126016350809,9930.42693852115
117,9799.20266367756,9817.124469490958,9957.240683751226
118,9793.55686800174,9803.301164981804,9985.125770915662
119,9793.096238604458,9804.553846823635,9939.766244357908
120,9760.263626196936,9772.016739700166,9843.630762128672
121,9534.407322043213,9529.365987949735,9864.180581305473
122,9538.2910053434,9533.054174645324,9893.815677709412
123,9437.809453611091,9429.325315012877,9910.1749714034
124,9397.780382426035,9389.05359245549,9923.313115162731
125,9457.870363946477,9446.777707133426,9902.783031550398
126,9435.312612436046,9423.244196625505,9850.567276807104
127,9361.914806198936,9352.567369311551,9976.45877757268
128,9266.078035166482,9261.325386484858,9971.708144085542
129,9282.08912152358,9277.961757017354,9768.384978136555
130,9272.841961726126,9269.841824608877,9699.675820065042
131,9256.159624813516,9252.128416970358,9725.388247588207
132,9307.536412887166,9304.633755068042,9842.058858244254
133,9301.480820763203,9297.904382805626,9878.9496543165
134,9289.568859787956,9286.048560488558,9829.761757511798
135,9262.543650651398,9261.246669357612,9825.330218988744
136,9264.028121811974,9261.94790794918,9821.21544876822
137,9242.071800676616,9240.204332138215,9819.608831949963
138,9175.537758637787,9165.629231795056,9777.102880875707
139,9151.211557666826,9136.119569888357,9506.838362397266
140,9138.856298565355,9122.44678511521,9515.794146662674
141,9241.860190336249,9224.683829161831,9389.349394237614
142,9212.52962330504,9194.385579354914,9336.102569377052
143,9199.828064169931,9183.24494166071,9407.259821008734
144,9252.026390306204,9233.095592586917,9376.204860973718
145,9296.14125851786,9274.750372364742,9286.830675949155
146,9303.211989186044,9279.24655751326,9166.522925796022
147,9445.908033525964,9423.151389101944,9187.681642937596
148,9389.25669053296,9365.864589275934,9180.31911464826
149,9390.881695373637,9366.469820003187,9158.495814684466
150,9283.635094476076,9257.14802808538,9223.202749051929
151,9241.713440873484,9211.96978089078,9213.922008568516
152,9260.015875698598,9228.987102089464,9199.50976434053
153,9431.98888549996,9398.80290294016,9164.445299085775
154,9472.746942943688,9439.829504062847,9166.60390687416
155,9103.561005470849,9070.785339652111,9139.81161615748
156,9230.516806348633,9192.402522261116,9059.448439130105
157,9218.858452761217,9180.717782608168,9031.48175664739
158,9148.75686968552,9114.183795564151,9019.67670955093
159,9074.398192302133,9042.012921117035,9147.514750049844
160,9091.5109887697,9057.978850042064,9110.224841486288
161,9192.09262123152,9157.661079624317,9095.954862376268
162,9155.538988796698,9124.665720336756,9159.476302849213
163,9256.348614721748,9224.681244096497,9213.202756179442
164,9112.873736531708,9075.576914780935,9221.506528219925
165,9187.869854537328,9149.431314222003,9395.981924695425
166,9237.003544710473,9201.679793410189,9326.10287592993
167,9243.680913712758,9208.53836234734,9330.46602056117
168,9229.27711678436,9194.68601351266,9200.385415035398
169,9216.447980363197,9182.493460172103,9153.102805119786
170,9202.712282394952,9166.643016298302,9172.053413587391
171,9112.350232872692,9073.259661119358,9374.22190086449
172,9109.422112875884,9071.745978992838,9420.757510914164
173,9171.360160982513,9132.24038928541,8968.21705037795
174,9159.168868375067,9117.547137444431,9123.065691402278
175,9121.110074100588,9077.120592102625,9108.755580343846
176,9092.53032185861,9049.98547765761,9023.898632631975
177,8977.55978025709,8944.420893013315,8928.18703365162
178,8565.703550446071,8544.102782068718,8948.453609323886
179,8426.12828255191,8403.529340837495,9068.9719523988
180,8290.674423937671,8276.671863474397,9027.248054853522
181,7994.628977400496,7983.862184687677,9148.79937153196
182,8146.790681605927,8138.287509286979,8975.794515830807
183,8376.69552685787,8372.346420401584,9062.594343840045
184,8378.918528453814,8369.986241421937,9125.304233953548
185,8417.779979160992,8415.594218994525,9133.036531567235
186,8512.815536568609,8508.663986766678,9113.84328981306
187,8472.861358968337,8468.513153082777,9099.251804264257
188,8555.260995849481,8542.579175750014,9084.764611634271
189,8411.182368653741,8403.550907577897,8976.884981759678
190,8219.290819181311,8212.780533218476,8974.082309651334
191,8225.747748820553,8215.573305829099,9048.219352441958
192,8083.308245980432,8077.137183617309,9033.583238446306
193,8308.717806063049,8299.56015281938,8988.788755862772
194,8212.573187701912,8208.274443240494,8955.755648995
195,8336.322900720452,8325.847225937867,8822.742690676478
196,8808.298172005929,8752.475119286568,8341.26728223347
197,8820.721234316936,8771.702998555245,8185.297123234863
198,8690.306534329906,8644.265357579648,8035.855812026212
199,8668.342290749271,8619.596473287753,7692.573104595317
200,8652.566387260455,8605.00554076106,7868.434252626636
201,8406.08450345395,8364.062392681593,8129.96934566947
202,8496.714335461325,8453.807623145985,8130.511209818923
203,8539.16028388812,8491.665002833866,8179.378546126006
204,8624.54164723055,8576.898938115108,8291.822955240877
205,8664.321825977031,8617.489789331868,8245.639270758242
206,8700.675358834096,8651.573457229159,8337.67819051939
207,8728.448372037215,8678.17862530498,8171.224853948737
