timestep,MFN-A2C + DSR,MFN-A2C + PV,A2C + DSR,A2C + PV
0,10000.0,10000.0,10000.0,10000.0
1,9991.775460249684,9995.114879586466,9992.619116567836,9990.362692503908
2,9961.600437919908,9972.750377777713,9966.437072539957,9962.649851039814
3,10020.178508003108,10081.147584434051,10016.4290068113,10017.07173179742
4,10061.913486730231,10160.950286718642,10058.34188710058,10064.329323929827
5,9986.012435630266,10061.223947319266,9981.41828897078,9985.123722910916
6,9933.493941649587,9984.106285028334,9928.294193915672,9934.296728671268
7,9921.365109798096,9965.31176514156,9916.606826157926,9923.14863998489
8,9798.389984912354,9815.472448321923,9789.598941931004,9803.183001264482
9,9664.792568540634,9640.014155789431,9676.940779783796,9678.291666623412
10,9531.4754310639,9456.764855924004,9544.87907316574,9539.022176872511
11,9391.901914202226,9341.18747595504,9420.70160137656,9402.259890748324
12,9497.76132268638,9468.50810234216,9519.975564756263,9507.82799052506
13,9549.762796260353,9539.60830585144,9570.259842494464,9560.74777746338
14,9676.366836008585,9685.392308737288,9685.681970660627,9687.59338063667
15,9323.187480779216,9285.73679109141,9345.6966278136,9346.253135346587
16,9045.745177885598,8866.402368815114,9080.917483517003,9061.817972114934
17,8972.35243752812,8793.50119297078,9008.066747978586,8983.031909573994
18,8982.660222272083,8774.64178772138,9019.85924485343,8990.324494432103
19,9156.796706443633,9059.364187914582,9187.81973767261,9163.864661530672
20,9182.59087896599,9027.800137468696,9222.533530239096,9188.64566111938
21,9194.93449273003,9045.910887555969,9239.373419719564,9204.4289105913
22,9336.593372034313,9192.97516479256,9382.157262266956,9340.873970004734
23,9263.22705479771,9091.165478449702,9309.641006160864,9265.289674469452
24,9141.69642717492,8929.687375211153,9190.439390309966,9149.216195841867
25,9247.571520672804,9089.040634526064,9290.40785431604,9252.690628493388
26,9295.695644710426,9134.061571177735,9333.85146253748,9300.801008134476
27,9175.217072777075,8980.572786523691,9223.650636482482,9178.970539973468
28,9289.17585766396,9111.754739679243,9335.35503217106,9300.181118149816
29,9353.03015906374,9197.852515375986,9396.074164520956,9358.772694292273
30,9333.435190356153,9191.232811766267,9379.533340958047,9344.518346451252
31,9287.759499267166,9151.872908740466,9330.678065430811,9298.048291460784
32,9333.83723838182,9222.14951231938,9372.10624568941,9337.14043678556
33,9233.477186370756,9165.446889402298,9281.440547450917,9237.65538854933
34,9133.837116896144,9063.261397847844,9179.943672980453,9144.439451861994
35,9209.002503840387,9126.579155787584,9251.985830991747,9212.458213529157
36,9285.249504150144,9210.792811322752,9322.455724571566,9287.494030984424
37,9280.334070566028,9182.366705782311,9315.50167502318,9279.01380630698
38,9345.176457744668,9230.67326354117,9373.266456532256,9338.988637960683
39,9443.185587052469,9324.973440591046,9464.9795649175,9428.019084018988
40,9470.672716942216,9376.642784259246,9492.060283622362,9456.880190742551
41,9426.559758212856,9321.487657471804,9447.660339323922,9412.629931487958
42,9480.1533491913,9385.54658103744,9500.405686180266,9467.76005360854
43,9442.85136636722,9355.671984924013,9465.634822115651,9432.300269248111
44,9524.78114027099,9442.33636706774,9545.087422977213,9515.216269386226
45,9536.334206342446,9491.394901416015,9562.907497638387,9525.645555923444
46,9566.126881728553,9547.487691571543,9592.20715081895,9555.002742333543
47,9581.957912406995,9593.667664487928,9612.95760779258,9568.462492174098
48,9536.62533487808,9505.882091354672,9561.97967276737,9521.339676672213
49,9517.252267431986,9472.617857492109,9543.260599147492,9502.734192040718
50,9319.260198819664,9257.400120258071,9363.847156127598,9313.257462528212
51,9387.031659036767,9344.264555254003,9430.464345305663,9381.60912995886
52,9367.710233002346,9307.787442701225,9412.937254718976,9360.915190671676
53,9387.17515673349,9347.209149242664,9428.870863940445,9381.495452693276
54,9570.430100841038,9580.425643600194,9612.619461076483,9566.284719142212
55,9550.983441852626,9576.973257894591,9598.432654298143,9546.20388390873
56,9578.737596212037,9612.854395011724,9626.14625684629,9574.576932415885
57,9595.913856177012,9632.818677052368,9639.884590221129,9594.125237842954
58,9637.838441474056,9670.85284263763,9683.457417789614,9634.61068697264
59,9596.525391096991,9643.988358886289,9645.636988748716,9597.999760376011
60,9491.090989793232,9538.01540377304,9552.088566578572,9493.48583212773
61,9502.002792609675,9570.492812697865,9559.690900055271,9504.401476810554
